Entity,Code,Year,"Age-standardized deaths that are from respiratory infections per 100,000 people, in both sexes aged all ages"
Canada,CAN,1961,33.308743
Canada,CAN,1962,33.831642
Canada,CAN,1963,39.779736
Canada,CAN,1964,29.667328
Canada,CAN,1965,31.129873
Canada,CAN,1966,33.12353
Canada,CAN,1967,28.62227
Canada,CAN,1968,33.14895
Canada,CAN,1969,32.56218
Canada,CAN,1970,31.057396
Canada,CAN,1971,26.997763
Canada,CAN,1972,27.898596
Canada,CAN,1973,26.033106
Canada,CAN,1974,25.499458
Canada,CAN,1975,26.6266
Canada,CAN,1976,26.113132
Canada,CAN,1977,21.500648
Canada,CAN,1978,20.62061
Canada,CAN,1979,16.465837
Canada,CAN,1980,18.069393
Canada,CAN,1981,16.535992
Canada,CAN,1982,19.310154
Canada,CAN,1983,19.739134
Canada,CAN,1984,17.564625
Canada,CAN,1985,18.032816
Canada,CAN,1986,19.388868
Canada,CAN,1987,17.35657
Canada,CAN,1988,18.900852
Canada,CAN,1989,17.979801
Canada,CAN,1990,17.47298
Canada,CAN,1991,16.999601
Canada,CAN,1992,15.753974
Canada,CAN,1993,16.135101
Canada,CAN,1994,16.099928
Canada,CAN,1995,15.63633
Canada,CAN,1996,15.76102
Canada,CAN,1997,16.27015
Canada,CAN,1998,17.851902
Canada,CAN,1999,17.218094
Canada,CAN,2000,9.269795
Canada,CAN,2001,8.689279
Canada,CAN,2002,8.313503
Canada,CAN,2003,8.51334
Canada,CAN,2004,9.39721
Canada,CAN,2005,9.387854
Canada,CAN,2006,8.049431
Canada,CAN,2007,8.21017
Canada,CAN,2008,7.845586
Canada,CAN,2009,8.560818
Canada,CAN,2010,6.865963
Canada,CAN,2011,7.468416
Canada,CAN,2012,7.159618
Canada,CAN,2013,8.019824
Canada,CAN,2014,8.013132
Canada,CAN,2019,7.414662
Canada,CAN,2018,9.137554
Canada,CAN,2017,7.991726
Canada,CAN,2016,7.348229
Canada,CAN,2015,8.768695
Cape Verde,CPV,1980,24.551956
Cape Verde,CPV,2011,44.685852
Chile,CHL,1955,238.73232
Chile,CHL,1956,204.88866
Chile,CHL,1957,296.25305
Chile,CHL,1958,216.65678
Chile,CHL,1959,275.75626
Chile,CHL,1960,213.01462
Chile,CHL,1961,206.76639
Chile,CHL,1962,188.38095
Chile,CHL,1963,248.05296
